# Based on LCT2 measurements with 12 ns pulse width (FWHM) + 20MHz bandwidth
# Used for simulation with 3, 5 and 7 ns FWHM pulses as well assuming that
# the final front-end would perform better than the one used for tests
# Configuration : MUSIC with R=7, C=31
# Produced by C. Alispach 12/03/2020
# Parameters :
# - Gain               :  5.88149e+04
# - Sigma electronics  :  2.80682e-04 V
# - SiPM gain smearing :  1.05337e-04 V (in Volts)
# - SiPM gain smearing :  0.1790991738488036 (in units of p.e.)
# - Optical crosstalk  :  0.08 (agreed upon common value)
# The unit in abscissa is in number of photo electron
# SiPM formula from Gentile 2010, see following paper
#  - http://adsabs.harvard.edu/abs/2010arXiv1006.3263G
# Note that the Prompt and Prompt x AP columns are the same
#
# From a communication with Konrad :
#
# "If you know from your single-p.e. amplitude distribution where your
# the "1 p.e." point in your terminology (_exactly_ 1 cell fired, no
# cross talk happened) is w.r.t. to the mean, conversion between the
# "mean" amplitude unit and the "1 p.e." amplitude unit is trivial.
# If you know (and I am just making up some numbers here) that the
# "1 p.e." peak is at 0.95 (times "mean") and corresponds to an
# ADC amplitude of 35 counts then an FADC_AMPLITUDE of 35/0.95 = 36.84
# would reproduce that"
#
# The values below have been already shifted accordingly to the previous comment by the C. Alispach.
# since the mean of the distribution is at 0.99999 (close to 1 pe)
# however, the maximum is not at 1pe, and this needs to be taken into account for correction on the
# "fadc_amplitude" and "discriminator_amplitude" parameters for simtel
#
# Ampl.                  Prompt                   (Prompt x AP)
#----------------------- ------------------------ -----------------------
#
0.000000000000000000e+00 3.798573438372550221e-07 3.798573438372550221e-07
1.059059061535730373e-02 5.427272015612599138e-07 5.427272015612599138e-07
2.118118123071460746e-02 7.722332341080498047e-07 7.722332341080498047e-07
3.177177184607190424e-02 1.094261764538437086e-06 1.094261764538437086e-06
4.236236246142921491e-02 1.544186665859081976e-06 1.544186665859081976e-06
5.295295307678651864e-02 2.170122294669344456e-06 2.170122294669344456e-06
6.354354369214380849e-02 3.037207450738308683e-06 3.037207450738308683e-06
7.413413430750111222e-02 4.233217099256010476e-06 4.233217099256010476e-06
8.472472492285842982e-02 5.875873859816242534e-06 5.875873859816242534e-06
9.531531553821573355e-02 8.122322391281762703e-06 8.122322391281762703e-06
1.059059061535730373e-01 1.118133914017056881e-05 1.118133914017056881e-05
1.164964967689303271e-01 1.532897987770831760e-05 1.532897987770831760e-05
1.270870873842876170e-01 2.092852037391064229e-05 2.092852037391064229e-05
1.376776779996449485e-01 2.845572358555056511e-05 2.845572358555056511e-05
1.482682686150022244e-01 3.853067160766791540e-05 3.853067160766791540e-05
1.588588592303595559e-01 5.195763345015880636e-05 5.195763345015880636e-05
1.694494498457168596e-01 6.977470060463447394e-05 6.977470060463447394e-05
1.800400404610741356e-01 9.331521021942870762e-05 9.331521021942870762e-05
1.906306310764314671e-01 1.242832876570285300e-04 1.242832876570285300e-04
2.012212216917887431e-01 1.648461712653997166e-04 1.648461712653997166e-04
2.118118123071460746e-01 2.177463247006602650e-04 2.177463247006602650e-04
2.224024029225033783e-01 2.864366852818149025e-04 2.864366852818149025e-04
2.329929935378606543e-01 3.752427261638744435e-04 3.752427261638744435e-04
2.435835841532179857e-01 4.895553069808481015e-04 4.895553069808481015e-04
2.541741747685752340e-01 6.360585289210111569e-04 6.360585289210111569e-04
2.647647653839325654e-01 8.229969680778384793e-04 8.229969680778384793e-04
2.753553559992898969e-01 1.060486702670562385e-03 1.060486702670562385e-03
2.859459466146472284e-01 1.360874438016028811e-03 1.360874438016028811e-03
2.965365372300044489e-01 1.739148726503570884e-03 1.739148726503570884e-03
3.071271278453617803e-01 2.213406733600441906e-03 2.213406733600441906e-03
3.177177184607191118e-01 2.805379168544361399e-03 2.805379168544361399e-03
3.283083090760763878e-01 3.541014833280371667e-03 3.541014833280371667e-03
3.388988996914337193e-01 4.451124701139975819e-03 4.451124701139975819e-03
3.494894903067909953e-01 5.572083478775408452e-03 5.572083478775408452e-03
3.600800809221482712e-01 6.946584200687092384e-03 6.946584200687092384e-03
3.706706715375056027e-01 8.624438537629524129e-03 8.624438537629524129e-03
3.812612621528629342e-01 1.066341216736004655e-02 1.066341216736004655e-02
3.918518527682202102e-01 1.313008077889787385e-02 1.313008077889787385e-02
4.024424433835774861e-01 1.610068810549744600e-02 1.610068810549744600e-02
4.130330339989348176e-01 1.966198288227419266e-02 1.966198288227419266e-02
4.236236246142921491e-01 2.391200691013528265e-02 2.391200691013528265e-02
4.342142152296494251e-01 2.896080162198086741e-02 2.896080162198086741e-02
4.448048058450067566e-01 3.493099587001438633e-02 3.493099587001438633e-02
4.553953964603640325e-01 4.195823330001760554e-02 4.195823330001760554e-02
4.659859870757213085e-01 5.019139389799533862e-02 5.019139389799533862e-02
4.765765776910786400e-01 5.979256136259965965e-02 5.979256136259965965e-02
4.871671683064359715e-01 7.093668616885699663e-02 7.093668616885699663e-02
4.977577589217933030e-01 8.381089384968493095e-02 8.381089384968493095e-02
5.083483495371504679e-01 9.861338943214366382e-02 9.861338943214366382e-02
5.189389401525078549e-01 1.155519124061651776e-01 1.155519124061651776e-01
5.295295307678651309e-01 1.348417023180279728e-01 1.348417023180279728e-01
5.401201213832224068e-01 1.567029432560129998e-01 1.567029432560129998e-01
5.507107119985797938e-01 1.813576662424011277e-01 1.813576662424011277e-01
5.613013026139370698e-01 2.090261018801746751e-01 2.090261018801746751e-01
5.718918932292944568e-01 2.399224914281735954e-01 2.399224914281735954e-01
5.824824838446516218e-01 2.742503825722151234e-01 2.742503825722151234e-01
5.930730744600088977e-01 3.121974561627124944e-01 3.121974561627124944e-01
6.036636650753662847e-01 3.539299516018560299e-01 3.539299516018560299e-01
6.142542556907235607e-01 3.995867807477175848e-01 3.995867807477175848e-01
6.248448463060809477e-01 4.492734423929889420e-01 4.492734423929889420e-01
6.354354369214382237e-01 5.030558706974903593e-01 5.030558706974903593e-01
6.460260275367953886e-01 5.609543704483823667e-01 5.609543704483823667e-01
6.566166181521527756e-01 6.229378086848381679e-01 6.229378086848381679e-01
6.672072087675100516e-01 6.889182450436225347e-01 6.889182450436225347e-01
6.777977993828674386e-01 7.587461911894159972e-01 7.587461911894159972e-01
6.883883899982247145e-01 8.322066920128774470e-01 8.322066920128774470e-01
6.989789806135819905e-01 9.090164171805669158e-01 9.090164171805669158e-01
7.095695712289393775e-01 9.888219405711007326e-01 9.888219405711007326e-01
7.201601618442965425e-01 1.071199366842274348e+00 1.071199366842274348e+00
7.307507524596539294e-01 1.155655438837712934e+00 1.155655438837712934e+00
7.413413430750112054e-01 1.241630227063016845e+00 1.241630227063016845e+00
7.519319336903684814e-01 1.328501463670131555e+00 1.328501463670131555e+00
7.625225243057258684e-01 1.415590539239576229e+00 1.415590539239576229e+00
7.731131149210831444e-01 1.502170132406258851e+00 1.502170132406258851e+00
7.837037055364404203e-01 1.587473391572355341e+00 1.587473391572355341e+00
7.942942961517976963e-01 1.670704536349504776e+00 1.670704536349504776e+00
8.048848867671549723e-01 1.751050695888132891e+00 1.751050695888132891e+00
8.154754773825123593e-01 1.827694753877807665e+00 1.827694753877807665e+00
8.260660679978696352e-01 1.899828927722831073e+00 1.899828927722831073e+00
8.366566586132270222e-01 1.966668774093071281e+00 1.966668774093071281e+00
8.472472492285842982e-01 2.027467286407281133e+00 2.027467286407281133e+00
8.578378398439414632e-01 2.081528733227897110e+00 2.081528733227897110e+00
8.684284304592988502e-01 2.128221881075119448e+00 2.128221881075119448e+00
8.790190210746561261e-01 2.166992251423003779e+00 2.166992251423003779e+00
8.896096116900135131e-01 2.197373079772743765e+00 2.197373079772743765e+00
9.002002023053707891e-01 2.218994674369803022e+00 2.218994674369803022e+00
9.107907929207280651e-01 2.231591912514902187e+00 2.231591912514902187e+00
9.213813835360854521e-01 2.235009662224371585e+00 2.235009662224371585e+00
9.319719741514426170e-01 2.229205974519643085e+00 2.229205974519643085e+00
9.425625647668001150e-01 2.214252954823119346e+00 2.214252954823119346e+00
9.531531553821572800e-01 2.190335288508322709e+00 2.190335288508322709e+00
9.637437459975144449e-01 2.157746463144860627e+00 2.157746463144860627e+00
9.743343366128719429e-01 2.116882795900032477e+00 2.116882795900032477e+00
9.849249272282291079e-01 2.068235436486772105e+00 2.068235436486772105e+00
9.955155178435866059e-01 2.012380571738952906e+00 2.012380571738952906e+00
1.006106108458943771e+00 1.949968105385808004e+00 1.949968105385808004e+00
1.016696699074300936e+00 1.881709124285690038e+00 1.881709124285690038e+00
1.027287289689658323e+00 1.808362489092953496e+00 1.808362489092953496e+00
1.037877880305015710e+00 1.730720902369000447e+00 1.730720902369000447e+00
1.048468470920373097e+00 1.649596810299831962e+00 1.649596810299831962e+00
1.059059061535730262e+00 1.565808485724305532e+00 1.565808485724305532e+00
1.069649652151087649e+00 1.480166620844221015e+00 1.480166620844221015e+00
1.080240242766444814e+00 1.393461728923125253e+00 1.393461728923125253e+00
1.090830833381802201e+00 1.306452616969805858e+00 1.306452616969805858e+00
1.101421423997159588e+00 1.219856147591176887e+00 1.219856147591176887e+00
1.112012014612516753e+00 1.134338459804349775e+00 1.134338459804349775e+00
1.122602605227874140e+00 1.050507767614772714e+00 1.050507767614772714e+00
1.133193195843231305e+00 9.689088035781809882e-01 9.689088035781809882e-01
1.143783786458588914e+00 8.900189242509656262e-01 8.900189242509656262e-01
1.154374377073946079e+00 8.142458471040161516e-01 8.142458471040161516e-01
1.164964967689303244e+00 7.419269455986846618e-01 7.419269455986846618e-01
1.175555558304660630e+00 6.733299918860907729e-01 6.733299918860907729e-01
1.186146148920017795e+00 6.086552058637876295e-01 6.086552058637876295e-01
1.196736739535375404e+00 5.480384456515959846e-01 5.480384456515959846e-01
1.207327330150732569e+00 4.915553581527432048e-01 4.915553581527432048e-01
1.217917920766089956e+00 4.392262991641544545e-01 4.392262991641544545e-01
1.228508511381447121e+00 3.910218301348041270e-01 3.910218301348041270e-01
1.239099101996804286e+00 3.468686025547805252e-01 3.468686025547805252e-01
1.249689692612161895e+00 3.066554503178298696e-01 3.066554503178298696e-01
1.260280283227519060e+00 2.702395243315725004e-01 2.702395243315725004e-01
1.270870873842876447e+00 2.374523211678213064e-01 2.374523211678213064e-01
1.281461464458233612e+00 2.081054776367508574e-01 2.081054776367508574e-01
1.292052055073590777e+00 1.819962248364797308e-01 1.819962248364797308e-01
1.302642645688948386e+00 1.589124175350520030e-01 1.589124175350520030e-01
1.313233236304305551e+00 1.386370768359524164e-01 1.386370768359524164e-01
1.323823826919662938e+00 1.209524052273683176e-01 1.209524052273683176e-01
1.334414417535020103e+00 1.056432527167281837e-01 1.056432527167281837e-01
1.345005008150377490e+00 9.250003034210532715e-02 9.250003034210532715e-02
1.355595598765734877e+00 8.132108260747399064e-02 8.132108260747399064e-02
1.366186189381092042e+00 7.191454312006879956e-02 7.191454312006879956e-02
1.376776779996449429e+00 6.409970784887492057e-02 6.409970784887492057e-02
1.387367370611806594e+00 5.770796801489830319e-02 5.770796801489830319e-02
1.397957961227163981e+00 5.258334979776688178e-02 5.258334979776688178e-02
1.408548551842521368e+00 4.858271100154287064e-02 4.858271100154287064e-02
